Seq Id	COG Supercategory	COG Letter	COG Category	CDD Id	CDD description
OM-RGC.v1.002248391	CELLULAR PROCESSES AND SIGNALING	[U]	Intracellular trafficking, secretion, and vesicular transport	223726	Preprotein translocase subunit SecA (ATPase, RNA helicase) [Intracellular trafficking, secretion, and vesicular transport]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[S]	Function unknown	227739	Uncharacterized protein [Function unknown]. 
OM-RGC.v1.002248391	POORLY CHARACTERIZED	[R]	General function prediction only	226674	NADP-dependent 3-hydroxy acid dehydrogenase YdfG [Energy production and conversion]. 
OM-RGC.v1.002573042				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002573042	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002573042	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002573042	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002573042				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002573042	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002573042	METABOLISM	[P]	Inorganic ion transport and metabolism	223564	K+/H+ antiporter YhaU, regulatory subunit KhtT [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002573042	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002573042	METABOLISM	[I]	Lipid transport and metabolism	227111	Acetyl/propionyl-CoA carboxylase, alpha subunit  [Lipid transport and metabolism]. 
OM-RGC.v1.002573042	METABOLISM	[P]	Inorganic ion transport and metabolism	223643	Trk K+ transport system, NAD-binding component [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002573042	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	225527	Outer membrane lipoprotein LptE/RlpB (LPS assembly) [Cell wall/membrane/envelope biogenesis]. 
OM-RGC.v1.002573042	METABOLISM	[E]	Amino acid transport and metabolism	226650	Arginine utilization protein RocB  [Amino acid transport and metabolism]. 
OM-RGC.v1.002573042	CELLULAR PROCESSES AND SIGNALING	[O]	Posttranslational modification, protein turnover, chaperones	227377	RAB proteins geranylgeranyltransferase component A (RAB escort protein)  [Posttranslational modification, protein turnover, chaperones]. 
OM-RGC.v1.002573042	METABOLISM	[P]	Inorganic ion transport and metabolism	226921	Nitric oxide reductase activation protein  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002573042	POORLY CHARACTERIZED	[R]	General function prediction only	224982	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain [Amino acid transport and metabolism]. 
OM-RGC.v1.002573042				226997	Sigma54-dependent transcription regulator containing an AAA-type ATPase domain and a DNA-binding domain [Transcription, Signal transduction mechanisms]. 
OM-RGC.v1.002573042	METABOLISM	[C]	Energy production and conversion	223968	Pyruvate carboxylase  [Energy production and conversion]. 
OM-RGC.v1.002573042	CELLULAR PROCESSES AND SIGNALING	[N]	Cell motility	227126	Flagellar basal body rod protein FlgF [Cell motility]. 
OM-RGC.v1.002573042	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002573042	METABOLISM	[F]	Nucleotide transport and metabolism	223376	Folate-dependent phosphoribosylglycinamide formyltransferase PurN [Nucleotide transport and metabolism]. 
OM-RGC.v1.002716719				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002716719	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002716719	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002716719	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002716719	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002716719				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002716719	METABOLISM	[P]	Inorganic ion transport and metabolism	223564	K+/H+ antiporter YhaU, regulatory subunit KhtT [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002716719	POORLY CHARACTERIZED	[R]	General function prediction only	224734	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002716719	METABOLISM	[P]	Inorganic ion transport and metabolism	226921	Nitric oxide reductase activation protein  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002716719	METABOLISM	[P]	Inorganic ion transport and metabolism	223643	Trk K+ transport system, NAD-binding component [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002716719	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002716719	METABOLISM	[E]	Amino acid transport and metabolism	226650	Arginine utilization protein RocB  [Amino acid transport and metabolism]. 
OM-RGC.v1.002716719	METABOLISM	[I]	Lipid transport and metabolism	227111	Acetyl/propionyl-CoA carboxylase, alpha subunit  [Lipid transport and metabolism]. 
OM-RGC.v1.002716719	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002716719	METABOLISM	[E]	Amino acid transport and metabolism	223197	Isopropylmalate/homocitrate/citramalate synthases [Amino acid transport and metabolism]. 
OM-RGC.v1.002716719	METABOLISM	[C]	Energy production and conversion	225277	Aldehyde:ferredoxin oxidoreductase [Energy production and conversion]. 
OM-RGC.v1.002716719	POORLY CHARACTERIZED	[S]	Function unknown	224518	Uncharacterized protein [Function unknown]. 
OM-RGC.v1.002716719	METABOLISM	[C]	Energy production and conversion	223968	Pyruvate carboxylase  [Energy production and conversion]. 
OM-RGC.v1.002716719	CELLULAR PROCESSES AND SIGNALING	[N]	Cell motility	227126	Flagellar basal body rod protein FlgF [Cell motility]. 
OM-RGC.v1.002817586				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002817586	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002817586	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002817586	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002817586				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002817586	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[R]	General function prediction only	224734	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002817586	METABOLISM	[P]	Inorganic ion transport and metabolism	226921	Nitric oxide reductase activation protein  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[S]	Function unknown	224831	2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family [Coenzyme transport and metabolism]. 
OM-RGC.v1.002817586	METABOLISM	[F]	Nucleotide transport and metabolism	223376	Folate-dependent phosphoribosylglycinamide formyltransferase PurN [Nucleotide transport and metabolism]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[R]	General function prediction only	224673	5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase (purine biosynthesis) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002817586	METABOLISM	[E]	Amino acid transport and metabolism	224747	N-Dimethylarginine dimethylaminohydrolase  [Amino acid transport and metabolism]. 
OM-RGC.v1.002817586	METABOLISM	[E]	Amino acid transport and metabolism	226650	Arginine utilization protein RocB  [Amino acid transport and metabolism]. 
OM-RGC.v1.002817586				223326	Exopolyphosphatase/pppGpp-phosphohydrolase [Nucleotide transport and metabolism, Signal transduction mechanisms, Inorganic ion transport and metabolism]. 
OM-RGC.v1.002817586	METABOLISM	[Q]	Secondary metabolites biosynthesis, transport and catabolism	226715	Siderophore synthetase component  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[S]	Function unknown	224570	Uncharacterized conserved protein, contains PIN domain [Function unknown]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[S]	Function unknown	226517	Predicted phosphohydrolase, HAD superfamily [General function prediction only]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[R]	General function prediction only	224490	Predicted amidohydrolase YtcJ [General function prediction only]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[S]	Function unknown	226675	Uncharacterized conserved protein [Function unknown]. 
OM-RGC.v1.002817586	METABOLISM	[P]	Inorganic ion transport and metabolism	226220	Cu/Ag efflux pump CusA [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002817586	INFORMATION STORAGE AND PROCESSING	[L]	Replication, recombination and repair	227331	Predicted endonuclease, RecB family  [Replication, recombination and repair]. 
OM-RGC.v1.002817586	POORLY CHARACTERIZED	[S]	Function unknown	226357	Uncharacterized conserved protein, cupin superfamily [Function unknown]. 
OM-RGC.v1.002824212				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002824212	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002824212				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002824212	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002824212	METABOLISM	[P]	Inorganic ion transport and metabolism	223564	K+/H+ antiporter YhaU, regulatory subunit KhtT [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002824212	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002824212	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002824212	POORLY CHARACTERIZED	[R]	General function prediction only	225532	Uncharacterized membrane protein YbjL, putative transporter [General function prediction only]. 
OM-RGC.v1.002824212	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002824212	METABOLISM	[P]	Inorganic ion transport and metabolism	223643	Trk K+ transport system, NAD-binding component [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002824212	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002824212	POORLY CHARACTERIZED	[R]	General function prediction only	224024	Predicted metal-dependent hydrolase, TIM-barrel fold  [General function prediction only]. 
OM-RGC.v1.002824212	POORLY CHARACTERIZED	[S]	Function unknown	226188	Uncharacterized conserved protein, DUF2236 family [Function unknown]. 
OM-RGC.v1.002824212	METABOLISM	[G]	Carbohydrate transport and metabolism	226195	Alpha-L-fucosidase  [Carbohydrate transport and metabolism]. 
OM-RGC.v1.002824212	POORLY CHARACTERIZED	[R]	General function prediction only	227897	Predicted hydrolase, HAD superfamily [General function prediction only]. 
OM-RGC.v1.002824212	METABOLISM	[G]	Carbohydrate transport and metabolism	225493	Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family [Carbohydrate transport and metabolism]. 
OM-RGC.v1.002824212	METABOLISM	[C]	Energy production and conversion	225277	Aldehyde:ferredoxin oxidoreductase [Energy production and conversion]. 
OM-RGC.v1.002824212	METABOLISM	[F]	Nucleotide transport and metabolism	223789	Deoxycytidine triphosphate deaminase [Nucleotide transport and metabolism]. 
OM-RGC.v1.002824212				224089	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain [Transcription, Amino acid transport and metabolism]. 
OM-RGC.v1.002824212	METABOLISM	[C]	Energy production and conversion	224062	L-lactate utilization protein LutB, contains a ferredoxin-type domain [Energy production and conversion]. 
OM-RGC.v1.002825672				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002825672	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002825672	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002825672				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002825672	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002825672	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002825672	METABOLISM	[P]	Inorganic ion transport and metabolism	226921	Nitric oxide reductase activation protein  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[R]	General function prediction only	224734	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[S]	Function unknown	224831	2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family [Coenzyme transport and metabolism]. 
OM-RGC.v1.002825672	METABOLISM	[F]	Nucleotide transport and metabolism	223376	Folate-dependent phosphoribosylglycinamide formyltransferase PurN [Nucleotide transport and metabolism]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[R]	General function prediction only	224673	5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase (purine biosynthesis) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[S]	Function unknown	226517	Predicted phosphohydrolase, HAD superfamily [General function prediction only]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[S]	Function unknown	226357	Uncharacterized conserved protein, cupin superfamily [Function unknown]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[S]	Function unknown	224570	Uncharacterized conserved protein, contains PIN domain [Function unknown]. 
OM-RGC.v1.002825672	METABOLISM	[E]	Amino acid transport and metabolism	226650	Arginine utilization protein RocB  [Amino acid transport and metabolism]. 
OM-RGC.v1.002825672	POORLY CHARACTERIZED	[R]	General function prediction only	224490	Predicted amidohydrolase YtcJ [General function prediction only]. 
OM-RGC.v1.002825672	METABOLISM	[Q]	Secondary metabolites biosynthesis, transport and catabolism	226715	Siderophore synthetase component  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002825672	INFORMATION STORAGE AND PROCESSING	[K]	Transcription	225263	DNA-binding transcriptional regulator LsrR, DeoR family [Transcription]. 
OM-RGC.v1.002825672	INFORMATION STORAGE AND PROCESSING	[L]	Replication, recombination and repair	227331	Predicted endonuclease, RecB family  [Replication, recombination and repair]. 
OM-RGC.v1.002825672	METABOLISM	[P]	Inorganic ion transport and metabolism	226220	Cu/Ag efflux pump CusA [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002826093				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002826093	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002826093	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002826093	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002826093	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002826093				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002826093	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002826093	METABOLISM	[P]	Inorganic ion transport and metabolism	226921	Nitric oxide reductase activation protein  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002826093	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002826093	POORLY CHARACTERIZED	[R]	General function prediction only	224673	5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase (purine biosynthesis) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002826093	POORLY CHARACTERIZED	[S]	Function unknown	224831	2-phospho-L-lactate guanylyltransferase, coenzyme F420 biosynthesis enzyme, CobY/MobA/RfbA family [Coenzyme transport and metabolism]. 
OM-RGC.v1.002826093	INFORMATION STORAGE AND PROCESSING	[J]	Translation, ribosomal structure and biogenesis	223159	Ribosomal protein L1 [Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002826093	METABOLISM	[E]	Amino acid transport and metabolism	226650	Arginine utilization protein RocB  [Amino acid transport and metabolism]. 
OM-RGC.v1.002826093	POORLY CHARACTERIZED	[R]	General function prediction only	224522	ATP-utilizing enzyme, PP-loop superfamily  [General function prediction only]. 
OM-RGC.v1.002826093	METABOLISM	[Q]	Secondary metabolites biosynthesis, transport and catabolism	226715	Siderophore synthetase component  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002826093	POORLY CHARACTERIZED	[R]	General function prediction only	226821	Mu-like prophage tail sheath protein gpL  [Mobilome: prophages, transposons]. 
OM-RGC.v1.002826093	METABOLISM	[C]	Energy production and conversion	223101	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component [Energy production and conversion]. 
OM-RGC.v1.002826093	POORLY CHARACTERIZED	[S]	Function unknown	226864	Uncharacterized protein [Function unknown]. 
OM-RGC.v1.002826093	METABOLISM	[I]	Lipid transport and metabolism	224186	Phosphatidylglycerophosphatase A [Lipid transport and metabolism]. 
OM-RGC.v1.002826093	POORLY CHARACTERIZED	[R]	General function prediction only	225241	Acyl-homoserine lactone (AHL) acylase PvdQ [Secondary metabolites biosynthesis, transport and catabolism]. 
OM-RGC.v1.002826093				223326	Exopolyphosphatase/pppGpp-phosphohydrolase [Nucleotide transport and metabolism, Signal transduction mechanisms, Inorganic ion transport and metabolism]. 
OM-RGC.v1.002826093	METABOLISM	[E]	Amino acid transport and metabolism	224747	N-Dimethylarginine dimethylaminohydrolase  [Amino acid transport and metabolism]. 
OM-RGC.v1.002826093	METABOLISM	[E]	Amino acid transport and metabolism	223601	Aspartokinase [Amino acid transport and metabolism]. 
OM-RGC.v1.002839466				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002839466	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002839466				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002839466	METABOLISM	[P]	Inorganic ion transport and metabolism	223564	K+/H+ antiporter YhaU, regulatory subunit KhtT [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002839466	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002839466	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002839466	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002839466	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002839466	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002839466	METABOLISM	[P]	Inorganic ion transport and metabolism	223643	Trk K+ transport system, NAD-binding component [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002839466	POORLY CHARACTERIZED	[R]	General function prediction only	225532	Uncharacterized membrane protein YbjL, putative transporter [General function prediction only]. 
OM-RGC.v1.002839466				224089	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain [Transcription, Amino acid transport and metabolism]. 
OM-RGC.v1.002839466	POORLY CHARACTERIZED	[S]	Function unknown	226188	Uncharacterized conserved protein, DUF2236 family [Function unknown]. 
OM-RGC.v1.002839466	POORLY CHARACTERIZED	[R]	General function prediction only	224673	5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase (purine biosynthesis) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002839466	METABOLISM	[C]	Energy production and conversion	223968	Pyruvate carboxylase  [Energy production and conversion]. 
OM-RGC.v1.002839466	METABOLISM	[E]	Amino acid transport and metabolism	223601	Aspartokinase [Amino acid transport and metabolism]. 
OM-RGC.v1.002839466	INFORMATION STORAGE AND PROCESSING	[J]	Translation, ribosomal structure and biogenesis	223308	Ribosomal protein L34 [Translation, ribosomal structure and biogenesis]. 
